name,image_url,about,books_written
David Helwig,https://images.gr-assets.com/authors/1422027002p5/613.jpg,"David Gordon Helwig grew up in Toronto and at Niagara-on-the-Lake, Ont. He attended the University of Toronto, where he earned a BA, and then completed an MA at the University of Liverpool. First publishing as a poet, Helwig moved on to drama and fiction, including a series of novels focusing on characters living in Kingston, where Helwig lived for many years teaching at Queen's University. He has also taught at the Collins Bay Penitentiary near Kingston, an experience that led to his nonfiction work A Book about Billie (1972), an assemblage of prose derived from his interviews with a convict. Helwig was a long-time editor at Oberon Press, where he edited the annual anthology Best Canadian Stories. He has written scripts for television and radio, and arts commentary for newspapers and magazines across the country. David Helwig moved to a small village on Prince Edward Island in 1996.Increasingly David Helwig's poetry has moved from lyrics to longer narratives, starting with Atlantic Crossings (1974), 4 poems about ocean voyagers. The central poem of Book of the Hours (1979) deals with the 19th-century American writer Thomas Bulfinch and his ward, and Catchpenny Poems (1983) is a series of poetic meditations arising from 19th-century prints. A prolific poet, Helwig's collections include The Hundred Old Names (1989), The Beloved (1992), A Random Gospel (1996), and Telling Stories (2000). His long poem The Year One (2004) won the Atlantic Poetry Prize.Along with his impressive poetic output, David Helwig has been continually writing and publishing essays, novellas and novels. His essays have been collected in The Child of Someone (1997) and Living Here (2001). His memoir, The Names of Things, was published in 2006. David Helwig won the 2007 Matt Cohen Award for a lifetime of distinguished work. He was appointed Prince Edward Island's poet laureate in 2008.","scripts for television and radio, and arts commentary for newspapers and magazines across the country. David Helwig moved to a small village on Prince Edward Island in 1996.Increasingly David Helwig's poetry has moved from lyrics to longer narratives, starting with Atlantic Crossings (1974)"
Simon Schama,https://images.gr-assets.com/authors/1250448182p5/695.jpg,"Simon Schama was born in 1945. The son of a textile merchant with Lithuanian and Turkish grandparents, he spent his early years in Leigh-on-Sea in Essex. When his parents moved to London he won a scholarship to Haberdashers’ Aske’s School where his two great loves were English and History. Forced to choose between the two he opted to read history at Christ’s College, Cambridge. Here he was taught by Sir John Plumb whose other students: Linda Colley, Roy Porter and John Brewer are now central to British historical thought. It was Plumb’s influence which instilled in him the importance of narrative and written style in order to gain an audience for history outside academia. One of the hallmarks of Schama’s work is his flair for description: ‘he gets arcane matters to walk, in fact dance, off the page’ according to fellow historian Peter Hennessy. However, his approach is contentious and invites criticism of subjectivity and populism from academic circles. Schama remained at Christ’s for 10 years after his degree, becoming a fellow and then director of Studies, before moving to Brasenose College Oxford. While at Oxford he wrote Patriots and Liberators: Revolution in the Netherlands 1780-1813 (1977), which won the Wolfson Literary Award, and Two Rothschilds and the Land of Israel (1979). At Oxford he met his wife, Ginny Papaioannou a geneticist from California.Tired of the Oxford system (he once described his experience as being ‘like a gerbil on a treadmill’) and enticed by the freedom of US Academic life, he moved to America in 1980, becoming Professor of History at Harvard. Here he wrote The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age (1987), Citizens: A Chronicle of the French Revolution (1989) and Dead Certainties (Unwarranted Speculations) (1991): an a unusual linking of the death of General Wolfe at Quebec in 1759 and the murder of a doctor, George Parkman, by a Harvard Professor in 1849. Citizens, which was written at lightening speed: 900 pages in only 18 months, won the 1990 NCR Book Award. However, Schama’s emphasis on the terror and violence of the revolution and his argument, that from its beginning it was a ‘sacrament of blood’, ensured it has never found a publisher in France. He is now professor in history and art history at Columbia where he has written Landscape and Memory (1996) which received the W H Smith Literary Award and Rembrandt’s Eyes (1999). The latter is a controversial reassessment of the artist which attempts to reinstate the notion of Rembrandt the genius, aiming to invoke the atmosphere as well as the historical context. In Schama’s view, as he tells David D’Arcy in Art Newspaper ‘There are some passages of sublime reinvention for which history has absolutely no answers…it seems to me pointless and trivial to pretend that it does.’Simon Schama has also worked for the BBC on a 16 part series: ‘A History of Britain’ and has been an art critic and cultural essayist for The New Yorker and Talk magazine. He lives in New York with his wife and their two children Chloe and Gabriel.","style in order to gain an audience for history outside academia. One of the hallmarks of Schama’s work is his flair for description: ‘he gets arcane matters to walk, in fact dance, off the page’ according to fellow historian Peter Hennessy. However, his approach is contentious and invites criticism of subjectivity and populism from academic circles. Schama remained at Christ’s for 10 years after his degree, becoming a fellow and then director of Studies, before moving to Brasenose College Oxford. While at Oxford he wrote Patriots and Liberators: Revolution in the Netherlands 1780-1813 (1977); at lightening speed: 900 pages in only 18 months, won the 1990 NCR Book Award. However, Schama’s emphasis on the terror and violence of the revolution and his argument, that from its beginning it was a ‘sacrament of blood’, ensured it has never found a publisher in France. He is now professor in history and art history at Columbia where he has written Landscape and Memory (1996)"
Robert A. Caro,https://images.gr-assets.com/authors/1312687118p5/722.jpg,"A former investigative reporter for Newsday, Robert Caro is the author of The Power Broker (1974), a biography of the urban planner Robert Moses which he won the 1975 Pulitzer Prize. President Obama said that he read the biography when he was 22 years old and that the book ""mesmerized"" him. Obama said, ""I'm sure it helped to shape how I think about politics.""Caro has also written four biographies on Lyndon Johnson, including The Path to Power (1982), Means of Ascent (1990), and Master of the Senate (2002), and The Passage of Power (2012), which won the National Book Critics Circle Award. He is currently at work on a fifth and final volume about Lyndon Johnson","four biographies on Lyndon Johnson, including The Path to Power (1982)"
Steven J. Rosen,https://images.gr-assets.com/authors/1398246345p5/876.jpg,"Steven J. Rosen, also known as Satyaraja Dasa (born 1955), is an American author. He is the founding editor of The Journal of Vaishnava Studies and an associate editor of Back to Godhead, the magazine of the Hare Krishna Movement. He authored more than 20 books on Vaishnavism and related subjects.including Black Lotus: The Spiritual Journey of an Urban Mystic (2007), which is the life story of Bhakti Tirtha Swami.Steven J. Rosen has a strong view on vegetarianism and has written Diet for Transcendence: Vegetarianism and the World Religions (1997, previously published as Food for the Spirit) and Holy Cow: The Hare Krishna Contribution to Vegetarianism and Animal Rights (2004). In the former volume, he systematically explains the practice of vegetarianism in various religious traditions, such as Christianity, Islam, Buddhism, Hinduism and Judaism, with special attention to the philosophical schools of India. In the latter, citing the devotee-scholar Bhaktivinoda Thakur (1838–1914) and the Hindu savant Sivaya Subramuniyaswami (1927–2001), he looks at early Vedic tradition, animal sacrifices, and the innovative contributions of the Hare Krishna movement.","Diet for Transcendence: Vegetarianism and the World Religions (1997, previously published as Food for the Spirit) and Holy Cow: The Hare Krishna Contribution to Vegetarianism and Animal Rights (2004)"
Margaret Truman,https://images.gr-assets.com/authors/1226623201p5/1559.jpg,"Mary Margaret Truman-Daniel, widely known throughout her life as ""Margaret Truman"", (February 17, 1924 — January 29, 2008) was an American singer who later became a successful writer. She was the only child of Harry S. Truman (33rd President of the United States) and his wife Bess.Born in Independence, Missouri, she was christened Mary Margaret Truman (for her aunt Mary Jane Truman and her maternal grandmother Margaret Gates Wallace) but was called Margaret from early childhood.In 1944 Truman christened the battleship USS Missouri, which was named after her home state (when the ship was recommissioned in 1986 she was a featured speaker at the ceremony).Truman pursued a singing career in the late 1940s. After graduating from George Washington University and receiving some operatic vocal training, she debuted with the radio broadcast of a vocal recital in March 1947. After a performance in December 1950, Washington Post music critic Paul Hume wrote she was “extremely attractive on the stage... [but] cannot sing very well. She is flat a good deal of the time.” Her father, then President, wrote to Hume, ""I have never met you, but if I do you'll need a new nose and plenty of beefsteak and perhaps a supporter below."" Years later she recalled, “I thought it was funny. Sold tickets.”[1] Truman's singing career was widely publicized during her father's presidency and the February 26, 1951 cover of Time Magazine carried her image with a single musical note floating by her head. She performed on stage, radio and television until the mid 1950s.Truman's place in pop culture was confirmed by her appearances as a Guest Panelist on the popular game show What's My Line?, replacing Dorothy Kilgallen several times and also appearing as a Mystery Guest.Truman married New York Times reporter (and later editor) Clifton Daniel (1912 - 2000) on April 21, 1956 at Trinity Episcopal Church in Independence, Missouri. They had four sons: * Clifton Truman Daniel (born 1957) - has written and spoken publicly about his grandfather and his experiences as the grandchild of a president. * William Wallace Daniel (1959 - 2000) - who died in a New York City taxi cab collision * Harrison Gates Daniel (born 1963) * Thomas Washington Daniel (born 1966).She wrote several non-fiction and fiction books. Harry S. Truman (1972) was a critically acclaimed, full length biography of her father drawn from extensive resources at the Truman Library, published shortly before his death. Bess W. Truman (1986) was a detailed personal biography of her mother. She also wrote books on White House first ladies and pets, the history of the White House and its inhabitants, along with a critically successful series of fictional murder mysteries set in various locations in and around Washington, D.C. There have been claims these murder mysteries were ghost-written, perhaps by Donald Bain, but he denies this.[2][3] She continued to write and publish regularly into her eighties.In later life Mrs. Daniel resided in her Park Avenue home in Manhattan and served on the Board of Directors for the Harry S Truman Presidential Library and Museum along with the Board of Governors for the Franklin and Eleanor Roosevelt Institute.Margaret Truman-Daniel died in Chicago at the age of 83 on January 29, 2008, following a brief illness during which she was on a respirator and living in an assisted care facility.[4] On February 23, following a private memorial service, her ashes and those of her husband E. Clifton Daniel were interred in her parents' burial plot at the Truman Library and Museum in Independence, Missouri.Series:* Capital Crimes",and spoken publicly about his grandfather and his experiences as the grandchild of a president. * William Wallace Daniel (1959 - 2000) - who died in a New York City taxi cab collision * Harrison Gates Daniel (born 1963) * Thomas Washington Daniel (born 1966).She wrote several non-fiction and fiction books. Harry S. Truman (1972)
John Ruskin,https://images.gr-assets.com/authors/1390665793p5/1606.jpg,"John Ruskin was born on 8 February 1819 at 54 Hunter Street, London, the only child of Margaret and John James Ruskin. His father, a prosperous, self-made man who was a founding partner of Pedro Domecq sherries, collected art and encouraged his son's literary activities, while his mother, a devout evangelical Protestant, early dedicated her son to the service of God and devoutly wished him to become an Anglican bishop. Ruskin, who received his education at home until the age of twelve, rarely associated with other children and had few toys. During his sixth year he accompanied his parents on the first of many annual tours of the Continent. Encouraged by his father, he published his first poem, On Skiddaw and Derwent Water, at the age of eleven, and four years later his first prose work, an article on the waters of the Rhine.In 1836, the year he matriculated as a gentleman-commoner at Christ Church, Oxford, he wrote a pamphlet defending the painter Turner against the periodical critics, but at the artist's request he did not publish it. While at Oxford (where his mother had accompanied him) Ruskin associated largely with a wealthy and often rowdy set but continued to publish poetry and criticism; and in 1839 he won the Oxford Newdigate Prize for poetry. The next year, however, suspected consumption led him to interrupt his studies and travel, and he did not receive his degree until 1842, when he abandoned the idea of entering the ministry. This same year he began the first volume of Modern Painters after reviewers of the annual Royal Academy exhibition had again savagely treated Turner's works, and in 1846, after making his first trip abroad without his parents, he published the second volume, which discussed his theories of beauty and imagination within the context of figural as well as landscape painting.On 10 April 1848 Ruskin married Euphemia Chalmers Gray, and the next year he published The Seven Lamps of Architecture, after which he and Effie set out for Venice. In 1850 he published The King of the Golden River, which he had written for Effie nine years before, and a volume of poetry, and in the following year, during which Turner died and Ruskin made the acquaintance of the Pre-Raphaelites, the first volume of The Stones of Venice. The final two volumes appeared in 1853, the summer of which saw Millais, Ruskin, and Effie together in Scotland, where the artist painted Ruskin's portrait. The next year his wife left him and had their marriage annulled on grounds of non-consummation, after which she later married Millais. During this difficult year, Ruskin defended the Pre-Raphaelites, became close to Rossetti, and taught at the Working Men's College.In 1855 Ruskin began Academy Notes, his reviews of the annual exhibition, and the following year, in the course of which he became acquainted with the man who later became his close friend, the American Charles Eliot Norton, he published the third and fourth volumes of Modern Painters and The Harbours of England. He continued his immense productivity during the next four years, producing The Elements of Drawing and The Political Economy of Art in 1857, The Elements of Perspective and The Two Paths in 1859, and the fifth volume of Modern Painters and the periodical version of Unto This Last in 1860. During 1858, in the midst of this productive period, Ruskin decisively abandoned the evangelical Protestantism which had so shaped his ideas and attitudes, and he also met Rose La Touche, a young Irish Protestant girl with whom he was later to fall deeply and tragically in love.Throughout the 1860s Ruskin continued writing and lecturing on social and political economy, art, and myth, and during this decade he produced the Fraser's Magazine Essays on Political Economy (1863); revised as Munera Pulveris (1872), Sesame and Lilies (1865), The Grown of Wild Oliv","for Effie nine years before, and a volume of poetry, and in the following year, during which Turner died and Ruskin made the acquaintance of the Pre-Raphaelites, the first volume of The Stones of Venice. The final two volumes appeared in 1853, the summer of which saw Millais, Ruskin, and Effie together in Scotland, where the artist painted Ruskin's portrait. The next year his wife left him and had their marriage annulled on grounds of non-consummation, after which she later married Millais. During this difficult year, Ruskin defended the Pre-Raphaelites, became close to Rossetti, and taught at the Working Men's College.In 1855 Ruskin began Academy Notes, his reviews of the annual exhibition, and the following year, in the course of which he became acquainted with the man who later became his close friend, the American Charles Eliot Norton, he published the third and fourth volumes of Modern Painters and The Harbours of England. He continued his immense productivity during the next four years, producing The Elements of Drawing and The Political Economy of Art in 1857, The Elements of Perspective and The Two Paths in 1859, and the fifth volume of Modern Painters and the periodical version of Unto This Last in 1860. During 1858, in the midst of this productive period, Ruskin decisively abandoned the evangelical Protestantism which had so shaped his ideas and attitudes, and he also met Rose La Touche, a young Irish Protestant girl with whom he was later to fall deeply and tragically in love.Throughout the 1860s Ruskin continued writing and lecturing on social and political economy, art, and myth, and during this decade he produced the Fraser's Magazine Essays on Political Economy (1863)"
Geraldine McCaughrean,https://images.gr-assets.com/authors/1296256453p5/1631.jpg,"Geraldine McCaughrean was born in 1951 and brought up in North London. She studied at Christ Church College of Education, Canterbury and worked in a London publishing house for 10 years before becoming a full-time writer in 1988. She has written over 120 books, 50 short plays for schools, and a radio play.Her adult novels include Fires’ Astonishment (1990) and The Ideal Wife (1997), but she is best-known for her children’s books. She writes for children of all ages, from first readers, picture books, and younger children’s books, to children’s novels, which include A Little Lower than the Angels (1987), Gold Dust (1993) and Not the End of the World (2004), each of which have won the Whitbread Children’s Book Award, making her the only writer to have won this award three times.Geraldine McCaughrean has also written several collections of stories, including bible stories and fairy tales. She specialises in the retelling of classic tales such as The Canterbury Tales (1984), The Odyssey (1993), Moby Dick (1996) and El Cid (1989) and of myths and legends from around the world. These books include The Orchard Book of Greek Myths (1992) and The Orchard Book of Roman Myths (1999).Geraldine McCaughrean lives in Berkshire. Her book, Not the End of the World, is currently being adapted for the stage. White Darkness (2005), was shortlisted for the 2005 Whitbread Children's Book Award. In 2005, she was chosen to write the official sequel to J. M. Barrie's Peter Pan. Peter Pan in Scarlet was published in 2006.","over 120 books, 50 short plays for schools, and a radio play.Her adult novels include Fires’ Astonishment (1990); several collections of stories, including bible stories and fairy tales. She specialises in the retelling of classic tales such as The Canterbury Tales (1984)"
Ann Thwaite,https://images.gr-assets.com/authors/1578715146p5/2050.jpg,"Dr Ann Thwaite is a writer and occasional reviewer for publications such as The Guardian, Washington Post, Daily Telegraph, and Times. She has written five major biographies. Her biography AA Milne: His Life won the Whitbread Biography of the Year prize in 1990.She is also a children's writer, whose works include The Camelthorn Papers (1969), Allsorts 1-7 (ed, 1968-75), Tracks (1978), Allsorts of Poems (ed, 1978), The Ashton Affair (1995), and The Horse at Hilly Fields (1996).Dr Thwaite is a member of the Society of Authors, the Royal Over-Seas League, and the Children's Books History Society.","five major biographies. Her biography AA Milne: His Life won the Whitbread Biography of the Year prize in 1990.She is also a children's writer, whose works include The Camelthorn Papers (1969)"
Selina Shirley Hastings,https://images.gr-assets.com/authors/1452388839p5/2077.jpg,"Selina Shirley Hastings (born 5 March 1945) is a British journalist who became an author and biographer.The elder daughter of Francis, 16th Earl of Huntingdon, by his second marriage, Hastings was educated at St. Hugh's College, Oxford, where she took an MA degree.Hastings has written books including Sir Gawain and the Loathly Lady (1985), Nancy Mitford (1986), The Singing Ringing Tree (1988), The Man Who Wanted to Live Forever (1988), The Firebird (1995), Evelyn Waugh (1995), Beibl Lliw Y Plant (1998), Rosamond Lehmann (2002) and The Secret Lives of Somerset Maugham (2010). She is a past recipient of the Marsh Biography Award.Hastings was elected a Fellow of the Royal Society of Literature (FRSL) in 1994. Among others she and her sister, Lady Harriet Shackleton, are in remainder to several ancient English baronies, including those of Hastings and Botreaux.(from Wikipedia)",books including Sir Gawain and the Loathly Lady (1985)
Mem Fox,https://images.gr-assets.com/authors/1312035073p5/2131.jpg,"Mem Fox was born in Australia, grew up in Africa, studied drama in England, and returned to Adelaide, Australia in 1970, where she has lived with her husband, Malcolm, and daughter Chloë, happily ever after.Mem Fox is Australia’s most highly regarded picture-book author. Her first book, Possum Magic, is the best selling children’s book ever in Australia, with sales of over three million. And in the USA Time for Bed and Wilfrid Gordon McDonald Partridge have each sold over a million copies. Time for Bed is on Oprah’s list of the twenty best children’s books of all time. Mem has written thirty picture books for children and five non-fiction books for adults, including the best-selling Reading Magic, aimed at parents of very young children.Mem Fox was an Associate Professor in Literacy Studies at Flinders University in Adelaide, Australia, where she taught teachers for twenty four years until her early retirement in 1996. She has received many civic awards, honours and accolades in Australia, including two honorary doctorates. She has visited the United States over one hundred times, mostly in her role as a literacy expert although she is also a well-known author in America. She is an influential international consultant in literacy, but she pretends to sit around writing full time.Winner of the Dromkeen Medal (1990).","thirty picture books for children and five non-fiction books for adults, including the best-selling Reading Magic, aimed at parents of very young children.Mem Fox was an Associate Professor in Literacy Studies at Flinders University in Adelaide, Australia, where she taught teachers for twenty four years until her early retirement in 1996. She has received many civic awards, honours and accolades in Australia, including two honorary doctorates. She has visited the United States over one hundred times, mostly in her role as a literacy expert although she is also a well-known author in America. She is an influential international consultant in literacy, but she pretends to sit around writing full time.Winner of the Dromkeen Medal (1990)"
